eigenvalue,variance.percent,cumulative.variance.percent
12.99789257258797,25.99578514517593,25.99578514517593
10.119356090580373,20.238712181160736,46.234497326336665
6.168856276318864,12.337712552637722,58.57220987897439
4.36185559440037,8.723711188800737,67.29592106777513
3.7056040114521873,7.411208022904371,74.7071290906795
2.9883203294560055,5.976640658912008,80.6837697495915
2.39081263709163,4.7816252741832574,85.46539502377476
1.830179908852268,3.6603598177045344,89.12575484147929
1.1646416916231055,2.3292833832462096,91.4550382247255
0.9872417463294388,1.9744834926588766,93.42952171738438
0.8506246802979628,1.701249360595925,95.13077107798031
0.692187515648356,1.3843750312967114,96.51514610927701
0.5324419441660646,1.0648838883321288,97.58002999760915
0.29479157716134213,0.589583154322684,98.16961315193183
0.232586295651132,0.4651725913022638,98.63478574323409
0.20822970409535943,0.41645940819071864,99.05124515142481
0.10129680523183766,0.20259361046367522,99.25383876188849
0.08814454158116523,0.17628908316233038,99.43012784505082
0.05205877792188769,0.10411755584377534,99.53424540089459
0.04157662837016529,0.08315325674033056,99.61739865763492
0.03439941997486575,0.06879883994973147,99.68619749758466
0.02753944441248411,0.05507888882496819,99.74127638640962
0.021915838040388463,0.043831676080776906,99.7851080624904
0.017672595894885477,0.03534519178977094,99.82045325428017
0.016489990570608088,0.03297998114121616,99.85343323542139
0.01407524698864919,0.02815049397729837,99.88158372939868
0.011713296032161136,0.023426592064322262,99.90501032146301
0.00874111141340621,0.017482222826812412,99.92249254428982
0.008047019694213781,0.016094039388427555,99.93858658367824
0.005751641354290679,0.011503282708581353,99.95008986638683
0.004520664226142974,0.009041328452285944,99.95913119483912
0.004207467217401527,0.00841493443480305,99.96754612927391
0.003437952103927228,0.006875904207854453,99.97442203348177
0.0031412278928178165,0.0062824557856356305,99.98070448926741
0.002269852358931306,0.00453970471786261,99.98524419398527
0.001784835707778549,0.003569671415557096,99.98881386540083
0.0015906241671360519,0.0031812483342721024,99.9919951137351
0.0014467866506240488,0.0028935733012480963,99.99488868703635
8.540385449057052e-4,0.0017080770898114097,99.99659676412617
7.345382977697166e-4,0.0014690765955394326,99.9980658407217
5.470337402973473e-4,0.0010940674805946942,99.9991599082023
3.851482635347136e-4,7.702965270694269e-4,99.99993020472937
3.3602974493242944e-5,6.720594898648586e-5,99.99999741067835
7.147365268986722e-7,1.4294730537973437e-6,99.9999988401514
3.768213016555637e-7,7.536426033111271e-7,99.999999593794
2.0220809585767563e-7,4.0441619171535105e-7,99.9999999982102
8.948956005393294e-10,1.789791201078658e-9,99.99999999999999
4.77672579941889e-29,9.553451598837777e-29,99.99999999999999
2.1292449151477467e-31,4.258489830295492e-31,99.99999999999999
6.452072553568833e-32,1.290414510713766e-31,99.99999999999999
